### Follow-up additions

**Follow-up 1:** is this finished? if not continue

### Response

بله، فصل ۱۵ کامل شده است. ساختار نهایی فصل شامل بخش‌های زیر است:

| # | بخش | وضعیت |
|---|------|--------|
| 1 | درآمد: پرسشی که نباید نادیده گرفت | ✅ |
| 2 | پنج چارچوب پاسخ‌گویی (فایده‌گرایی، کانتی، عدالت بین‌نسلی، واقع‌گرایی تراژیک، فلسفه‌ی رهایی) | ✅ |
| 3 | جدول تطبیقی پنج چارچوب | ✅ |
| 4 | شواهد تاریخی (نازیسم، طرح مارشال، آپارتاید، رواندا، کوزوو، کامبوج) | ✅ |
| 5 | نظریه‌ها و استدلال‌های حمایت‌کننده (جنگ عادلانه، انسداد تاریخی، هزینه‌ی زمان) | ✅ |
| 6 | نمودار تصمیم‌گیری (TikZ) | ✅ |
| 7 | ده استدلال قوی به نفع نجات‌طلبی فداکارانه (استدلال‌های ۱–۱۰) | ✅ |
| 8 | پاسخ مدافع: شش نقد اساسی | ✅ |
| 9 | جدول مقایسه‌ی موفقیت‌ها و شکست‌ها | ✅ |
| 10 | هفت شرط لازم برای نجات‌طلبی فداکارانه‌ی موجه | ✅ |
| 11 | نمودار طیف مداخله (TikZ) | ✅ |
| 12 | مسئله‌ی مشروعیت (R2P و حق درخواست کمک) | ✅ |
| 13 | آزمایش فکری: کشور X | ✅ |
| 14 | موضع نهایی نویسنده: واقع‌گرایی انتقادی | ✅ |
| 15 | پاسخ به پرسش آغازین فصل | ✅ |
| 16 | درس‌های عملی (برای ملت‌های تحت سرکوب + جامعه‌ی بین‌المللی) | ✅ |
| 17 | مدل رهایی ترکیبی (Hybrid Liberation) | ✅ |
| 18 | نتیجه‌گیری: تراژدی انتخاب | ✅ |
| 19 | خلاصه‌ی فصل در یک نگاه | ✅ |

فصل به‌طور کامل با `\end{tcolorbox}` پایانی بسته شده و آماده‌ی کامپایل است. اگر نیاز به افزودن بخش خاصی دارید (مثلاً پرسش‌های پایان‌فصل، یادداشت‌های تکمیلی، یا پیوست) بفرمایید.

---
