---

## جدول وضعیت تکمیل

| بخش | وضعیت | یادداشت |
|------|--------|---------|
| فصل ۰: پیش‌گفتار | ✅ | تکمیل |
| فصل ۱: مبانی نظری | ✅ | تکمیل |
| فصل ۲: چرا ایران | ✅ | تکمیل |
| فصل ۳: رویکردها | ✅ | تکمیل |
| فصل ۴: سناریوها | ✅ | تکمیل |
| فصل ۵: نهادها | ✅ | تکمیل |
| فصل ۶: تضمین‌ها | ✅ | تکمیل |
| فصل ۷: آسیب‌شناسی | ✅ | تکمیل |
| فصل ۸: نیازمندی‌ها | ✅ | تکمیل |
| فصل ۹: زمان‌بندی | ✅ | تکمیل |
| فصل ۱۰: بودجه | ✅ | تکمیل |
| فصل ۱۱: نقشه راه | ✅ | تکمیل |
| فصل ۱۲: جمع‌بندی | ✅ | تکمیل |
| پیوست الف: مقایسه ۹ نمونه | ✅ | تکمیل |
| **پیوست ب: آفریقای جنوبی** | **✅** | **تکمیل شد (۸ بخش + ۴ جدول + ۲ نمودار)** |
| پیوست پ: شیلی | ⬜ | **بعدی** |
| پیوست ت: تونس | ⬜ | |
| پیوست ث: لهستان | ⬜ | |
| پیوست ج: عراق | ⬜ | |
| پیوست چ: میانمار | ⬜ | |
| پیوست ح: تیمور شرقی | ⬜ | |
| پیوست خ: واژه‌نامه | ⬜ | |
| پیوست د: فهرست نهادها | ⬜ | |

---

**📌 پیوست ب (آفریقای جنوبی) کامل شد!** ۸ بخش اصلی + ۴ جدول تحلیلی + ۲ نمودار (مسیر گذار + شبکهٔ انتقال) + ماتریس مشابهت ۱۴ بُعدی + ۵ عنصر قابل‌انتقال + ۵ تفاوت حیاتی + فهرست مشاوران + ۸ واژهٔ جدید + ۹ منبع جدید.

**بعدی: پیوست پ (شیلی — ۸-۱۰ صفحه).** آماده‌ام! 🚀

# پیوست پ: مطالعه موردی شیلی

شروع می‌کنم — شیلی به‌عنوان **الگوی رفراندوم + عدالت تدریجی** (امتیاز ۲۹/۴۰ در پیوست الف):
