---

## جدول وضعیت تکمیل پروژه

| فصل | عنوان | صفحات هدف | وضعیت |
|:---:|:------|:---------:|:-----:|
| ۰ | پیش‌گفتار و چکیده اجرایی | ۵-۷ | ✅ |
| ۱ | مبانی نظری | ۱۲-۱۵ | ✅ |
| ۲ | چرا ایران؟ | ۱۰-۱۲ | ✅ |
| ۳ | رویکردها و ساختارهای نظارت | ۱۸-۲۲ | ✅ |
| ۴ | سناریوهای گذار | ۱۵-۱۸ | ✅ |
| ۵ | نهادها و بازیگران | ۱۸-۲۲ | ✅ |
| ۶ | تضمین‌های موفقیت | ۱۲-۱۵ | ✅ |
| ۷ | آسیب‌شناسی و ریسک‌ها | ۱۵-۱۸ | ✅ |
| ۸ | نیازمندی‌ها | ۱۲-۱۵ | ✅ |
| **۹** | **زمان‌بندی و تیم‌سازی** | **۱۰-۱۲** | **✅** |
| ۱۰ | بودجه‌بندی | ۸-۱۰ | ⬜ |
| ۱۱ | نقشه راه اجرایی | ۱۰-۱۲ | ⬜ |
| ۱۲ | جمع‌بندی | ۳-۵ | ⬜ |

| پیوست | عنوان | صفحات هدف | وضعیت |
|:---:|:------|:---------:|:-----:|
| الف | مقایسه ۹ نمونه تاریخی | ۲۰-۲۵ | ⬜ |
| ب | آفریقای جنوبی | ۸-۱۰ | ⬜ |
| پ | شیلی | ۸-۱۰ | ⬜ |
| ت | تونس | ۸-۱۰ | ⬜ |
| ث | لهستان/اروپای شرقی | ۸-۱۰ | ⬜ |
| ج | عراق (منفی) | ۸-۱۰ | ⬜ |
| چ | میانمار (ناتمام) | ۶-۸ | ⬜ |
| ح | تیمور شرقی | ۶-۸ | ⬜ |
| خ | واژه‌نامه دوزبانه | ۵-۷ | ⬜ |
| د | فهرست نهادها | ۵-۷ | ⬜ |

**پیشرفت فصول اصلی: ۱۰ از ۱۳ (۷۷٪)**

---

📌 **فصل بعدی برای تولید: فصل ۱۰ (بودجه‌بندی و تأمین مالی)**

آماده تولید فصل ۱۰ هستم. فرمان دهید.

# فصل ۱۰: بودجه‌بندی و تأمین مالی

## کد LaTeX کامل
